No.,IUPAC_Name,SMILES,Td/K,doi
entry99,"N,N'-((1,2,4,5-tetrazine-3,6-diyl)bis(1H-1,2,4-triazole-5,3-diyl))dinitramide",O=[N+](N(CN(C1=NON=C1C2=NN=NN2)[N+]([O-])=O)C3=NON=C3C4=NN=NN4)[O-],422.15,10.1016/j.molstruc.2019.127358
entry100,"N,N'-(((1H-1,2,4-triazole-3,5-diyl)bis(methylene))bis(3,5-dinitro-1H-pyrazole-1,4-diyl))dinitramide",O=[N+](C(C([N+]([O-])=O)=NN1)=C1C2=NOC(C3=C([N+]([O-])=O)C([N+]([O-])=O)=NN3)=N2)[O-],547.15,10.1002/cplu.201900454
entry101,"N,N'-(((1,2,4,5-tetrazine-3,6-diyl)bis(azanediyl))bis(1,2,5-oxadiazole-4,3-diyl))dinitramide",O=[N+](C1=C(C([N+]([O-])=O)=NN1)C2=NC(C3=C([N+]([O-])=O)NN=C3[N+]([O-])=O)=NN2)[O-],573.15,10.1039/d0ta09158h
entry102,"N,N'-(((1,2,4,5-tetrazine-3,6-diyl)bis(azanediyl))bis(1,2,5-oxadiazole-4,3-diyl))bis(N-(2,2,2-trinitroethyl)nitramide)",O=[N+](OC1(O[N+]([O-])=O)COC1)[O-],366.15, 10.1039/d1cc00466b
entry103,"N,2-dimethyl-N-(2-methyl-2H-tetrazol-5-yl)-2H-tetrazol-5-amine",CN1N=NC(NC2=NN(C)N=N2)=N1,536.15,10.1039/b811273h
entry104,"N',2-bis(2,2,2-trinitroethyl)hydrazine-1-carbohydrazide",O=C(OCC#CCOC(N[N+]([O-])=O)=O)N[N+]([O-])=O,422.15, 10.1002/zaac.201500795
entry105,"N',2-bis(1-amino-2,2-dinitrovinyl)hydrazine-1-carbohydrazide",O=[N+](C1=NN(CO[N+]([O-])=O)C2=C1N(CO[N+]([O-])=O)N=C2[N+]([O-])=O)[O-],481.15,10.1039/c6ra19556c
entry106,"N',2-bis((E)-2,4,6-trinitrobenzylidene)hydrazine-1-carboximidhydrazide",N/C(NN)=C([N+]([O-])=O)\[N+]([O-])=O,397.65,10.1002/anie.201501973
entry107,"N',2-bis((E)-2,4,6-trinitrobenzylidene)hydrazine-1-carbohydrazide",O=[N+](OCC1(CO[N+]([O-])=O)CCC1(CO[N+]([O-])=O)CO[N+]([O-])=O)[O-],465.95,10.1021/jacs.9b06961
entry108,N-(cyanomethyl)-N-methylnitramide,O=C1N/C(N([H])C2=NNN=C21)=N/[N+]([O-])=O,515.15,10.1016/j.cej.2020.126514
entry109,"N-(7-(dinitromethylene)octahydro-[1,2,4]triazino[6,5-e][1,2,4]triazin-3(2H)-ylidene)nitramide",O=[N+](OC1COC1)[O-],426.15, 10.1039/d1cc00466b
entry110,"N-(6-azido-[1,2,4]triazolo[4,3-b][1,2,4,5]tetrazin-3-yl)nitramide",NC(N=N1)=NN2C1=NN=C2N[N+]([O-])=O,565.15,10.1039/c8nj05220d
entry111,"N-(6-amino-[1,2,4]triazolo[4,3-b][1,2,4,5]tetrazin-3-yl)nitramide",O=[N+](NC1=NN=C2N=NC(NC3=NON=C3N[N+]([O-])=O)=NN21)[O-],398.15,10.1039/c9nj03636a
